fecha,presentacion,origen,destino,precio_min,precio_max,precio_frec,obs,producto,collected_at
17/06/2019,Caja de 10 kg.,Michoacán,"Baja California : Central de Abasto INDIA, Tijuana",480.00,480.00,480.00,,Aguacate Criollo - Primera,2026-03-23T22:11:25
17/08/2016,Kilogramo,Jalisco,"Durango: Central de Abasto ""Francisco Villa""",18.00,18.00,18.00,,Aguacate Criollo - Primera,2026-03-23T22:11:25
18/08/2016,Kilogramo,Jalisco,"Durango: Central de Abasto ""Francisco Villa""",18.00,18.00,18.00,,Aguacate Criollo - Primera,2026-03-23T22:11:25
19/08/2016,Kilogramo,Jalisco,"Durango: Central de Abasto ""Francisco Villa""",18.00,18.00,18.00,,Aguacate Criollo - Primera,2026-03-23T22:11:25
22/08/2016,Kilogramo,Jalisco,"Durango: Central de Abasto ""Francisco Villa""",18.00,18.00,18.00,,Aguacate Criollo - Primera,2026-03-23T22:11:25
23/08/2016,Kilogramo,Jalisco,"Durango: Central de Abasto ""Francisco Villa""",18.00,18.00,18.00,,Aguacate Criollo - Primera,2026-03-23T22:11:25
24/08/2016,Kilogramo,Jalisco,"Durango: Central de Abasto ""Francisco Villa""",18.00,18.00,18.00,,Aguacate Criollo - Primera,2026-03-23T22:11:25
25/08/2016,Kilogramo,Jalisco,"Durango: Central de Abasto ""Francisco Villa""",18.00,18.00,18.00,,Aguacate Criollo - Primera,2026-03-23T22:11:25
26/08/2016,Kilogramo,Jalisco,"Durango: Central de Abasto ""Francisco Villa""",18.00,18.00,18.00,,Aguacate Criollo - Primera,2026-03-23T22:11:25
29/08/2016,Kilogramo,Jalisco,"Durango: Central de Abasto ""Francisco Villa""",17.00,17.00,17.00,,Aguacate Criollo - Primera,2026-03-23T22:11:25
30/08/2016,Kilogramo,Jalisco,"Durango: Central de Abasto ""Francisco Villa""",17.00,18.00,17.00,,Aguacate Criollo - Primera,2026-03-23T22:11:25
05/09/2016,Kilogramo,Jalisco,"Durango: Central de Abasto ""Francisco Villa""",18.00,18.00,18.00,,Aguacate Criollo - Primera,2026-03-23T22:11:25
06/09/2016,Kilogramo,Jalisco,"Durango: Central de Abasto ""Francisco Villa""",18.00,18.00,18.00,,Aguacate Criollo - Primera,2026-03-23T22:11:25
07/09/2016,Kilogramo,Jalisco,"Durango: Central de Abasto ""Francisco Villa""",18.00,18.00,18.00,,Aguacate Criollo - Primera,2026-03-23T22:11:25
08/09/2016,Kilogramo,Jalisco,"Durango: Central de Abasto ""Francisco Villa""",18.00,18.00,18.00,,Aguacate Criollo - Primera,2026-03-23T22:11:25
09/09/2016,Kilogramo,Jalisco,"Durango: Central de Abasto ""Francisco Villa""",18.00,20.00,18.00,,Aguacate Criollo - Primera,2026-03-23T22:11:25
12/09/2016,Kilogramo,Jalisco,"Durango: Central de Abasto ""Francisco Villa""",18.00,20.00,18.00,,Aguacate Criollo - Primera,2026-03-23T22:11:25
13/09/2016,Kilogramo,Jalisco,"Durango: Central de Abasto ""Francisco Villa""",18.00,20.00,18.00,,Aguacate Criollo - Primera,2026-03-23T22:11:25
24/10/2016,Kilogramo,Michoacán,"Durango: Central de Abasto ""Francisco Villa""",20.00,20.00,20.00,,Aguacate Criollo - Primera,2026-03-23T22:11:25
25/10/2016,Kilogramo,Michoacán,"Durango: Central de Abasto ""Francisco Villa""",20.00,20.00,20.00,,Aguacate Criollo - Primera,2026-03-23T22:11:25
26/10/2016,Kilogramo,Michoacán,"Durango: Central de Abasto ""Francisco Villa""",20.00,20.00,20.00,,Aguacate Criollo - Primera,2026-03-23T22:11:25
27/10/2016,Kilogramo,Michoacán,"Durango: Central de Abasto ""Francisco Villa""",20.00,20.00,20.00,,Aguacate Criollo - Primera,2026-03-23T22:11:25
28/10/2016,Kilogramo,Michoacán,"Durango: Central de Abasto ""Francisco Villa""",20.00,20.00,20.00,,Aguacate Criollo - Primera,2026-03-23T22:11:25
31/10/2016,Kilogramo,Michoacán,"Durango: Central de Abasto ""Francisco Villa""",20.00,20.00,20.00,,Aguacate Criollo - Primera,2026-03-23T22:11:25
01/11/2016,Kilogramo,Michoacán,"Durango: Central de Abasto ""Francisco Villa""",20.00,20.00,20.00,,Aguacate Criollo - Primera,2026-03-23T22:11:25
03/11/2016,Kilogramo,Michoacán,"Durango: Central de Abasto ""Francisco Villa""",20.00,20.00,20.00,,Aguacate Criollo - Primera,2026-03-23T22:11:25
04/11/2016,Kilogramo,Michoacán,"Durango: Central de Abasto ""Francisco Villa""",20.00,20.00,20.00,,Aguacate Criollo - Primera,2026-03-23T22:11:25
26/04/2017,Kilogramo,Jalisco,"Durango: Central de Abasto ""Francisco Villa""",30.00,30.00,30.00,,Aguacate Criollo - Primera,2026-03-23T22:11:25
27/04/2017,Kilogramo,Jalisco,"Durango: Central de Abasto ""Francisco Villa""",30.00,30.00,30.00,,Aguacate Criollo - Primera,2026-03-23T22:11:25
28/04/2017,Kilogramo,Jalisco,"Durango: Central de Abasto ""Francisco Villa""",30.00,30.00,30.00,,Aguacate Criollo - Primera,2026-03-23T22:11:25
02/05/2017,Kilogramo,Jalisco,"Durango: Central de Abasto ""Francisco Villa""",30.00,30.00,30.00,,Aguacate Criollo - Primera,2026-03-23T22:11:25
03/05/2017,Kilogramo,Jalisco,"Durango: Central de Abasto ""Francisco Villa""",30.00,30.00,30.00,,Aguacate Criollo - Primera,2026-03-23T22:11:25
04/05/2017,Kilogramo,Jalisco,"Durango: Central de Abasto ""Francisco Villa""",30.00,30.00,30.00,,Aguacate Criollo - Primera,2026-03-23T22:11:25
08/05/2017,Kilogramo,Jalisco,"Durango: Central de Abasto ""Francisco Villa""",30.00,30.00,30.00,,Aguacate Criollo - Primera,2026-03-23T22:11:25
09/05/2017,Kilogramo,Jalisco,"Durango: Central de Abasto ""Francisco Villa""",30.00,30.00,30.00,,Aguacate Criollo - Primera,2026-03-23T22:11:25
10/05/2017,Kilogramo,Jalisco,"Durango: Central de Abasto ""Francisco Villa""",30.00,30.00,30.00,,Aguacate Criollo - Primera,2026-03-23T22:11:25
11/05/2017,Kilogramo,Jalisco,"Durango: Central de Abasto ""Francisco Villa""",30.00,30.00,30.00,,Aguacate Criollo - Primera,2026-03-23T22:11:25
12/05/2017,Kilogramo,Jalisco,"Durango: Central de Abasto ""Francisco Villa""",31.00,32.00,31.00,,Aguacate Criollo - Primera,2026-03-23T22:11:25
